event_id,datetime,key,value
ACCOUNT_STARTED,2022-05-23 20:12:53.081187,2170841569,<account.Account.Account object at 0x11d1809a0>
MODEL_CREATED,2022-05-23 20:12:53.421627,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d1c1480>
STOCK_IN_WORK,2022-05-23 20:12:53.450108,SBER,<stock.Stock.Stock object at 0x11d1c13f0>
MODEL_CREATED,2022-05-23 20:12:53.688879,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d1c0e50>
STOCK_IN_WORK,2022-05-23 20:12:53.708444,AFKS,<stock.Stock.Stock object at 0x11d1c3910>
MODEL_CREATED,2022-05-23 20:12:53.972804,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d1c2c20>
STOCK_IN_WORK,2022-05-23 20:12:54.122835,SNGS,<stock.Stock.Stock object at 0x11d1c3760>
MODEL_CREATED,2022-05-23 20:12:55.433595,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d1c22c0>
STOCK_IN_WORK,2022-05-23 20:12:55.463502,ALRS,<stock.Stock.Stock object at 0x11d1c2ad0>
MODEL_CREATED,2022-05-23 20:12:55.769666,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d2b0910>
STOCK_IN_WORK,2022-05-23 20:12:55.790821,MTSS,<stock.Stock.Stock object at 0x11d2b2230>
MODEL_CREATED,2022-05-23 20:12:56.097105,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d2b19c0>
STOCK_IN_WORK,2022-05-23 20:12:56.118116,GAZP,<stock.Stock.Stock object at 0x11d2b2590>
MODEL_CREATED,2022-05-23 20:12:56.380728,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d2b0400>
STOCK_IN_WORK,2022-05-23 20:12:56.408586,SBER,<stock.Stock.Stock object at 0x11d2b24a0>
MODEL_CREATED,2022-05-23 20:12:56.879089,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d2b2530>
STOCK_IN_WORK,2022-05-23 20:12:56.910840,SNGS,<stock.Stock.Stock object at 0x11d2b2e30>
MODEL_CREATED,2022-05-23 20:12:57.224744,ARIMAdeMarkLongHFT,<models.ARIMAdeMarkLongHFT.ARIMAdeMarkLongHFT object at 0x11d2b1b10>
STOCK_IN_WORK,2022-05-23 20:12:57.244215,YNDX,<stock.Stock.Stock object at 0x11d2b3f10>
